time,lat,lon,elevation,accuracy,bearing,speed,satellites,provider,hdop,vdop,pdop,geoidheight,ageofdgpsdata,dgpsid,activity,battery,annotation
2020-05-16T04:35:00.489Z,59.9402449,10.7642683,130.4000092,16.434,,,0,network,,,,,,,,42,
2020-05-16T04:35:10.880Z,59.94031621,10.76456431,148,13.936001,127,1.07,0,gps,,,,,,,,42,
2020-05-16T04:35:00.489Z,59.9402449,10.7642683,130.4000092,16.434,,,0,network,,,,,,,,42,
2020-05-16T04:35:26.874Z,59.94009718,10.76500248,134,10.72,155.9,0.99,0,gps,0.8,0.7,1,40,,,,42,
2020-05-16T04:35:14.789Z,59.9402153,10.7642538,130.4000092,17.147,,,0,network,,,,,,,,42,
2020-05-16T04:35:40.000Z,59.94024911,10.76531857,136,17.152,84.8,1.54,0,gps,0.7,0.9,1.2,40,,,,42,
2020-05-16T04:35:45.626Z,59.9402472,10.7643459,129.9000092,19.615,,,0,network,,,,,,,,42,
2020-05-16T04:35:54.000Z,59.94028373,10.76557245,138,17.152,86.1,0.45,10,gps,1.2,0.9,1.5,40,,,,42,
2020-05-16T04:35:45.626Z,59.9402472,10.7643459,129.9000092,19.615,,,0,network,,,,,,,,42,
2020-05-16T04:36:06.000Z,59.94029765,10.76555124,140,5.36,100.4,1.04,0,gps,0.8,0.7,1.1,40,,,,42,
2020-05-16T04:36:11.598Z,59.94027695,10.76575126,136,3.216,102.5,1.21,0,gps,0.7,0.7,1,40,,,,42,
2020-05-16T04:36:17.778Z,59.94027975,10.76588586,138,3.216,74.1,0.94,0,gps,0.6,0.6,0.8,40,,,,42,
2020-05-16T04:36:23.878Z,59.94030932,10.76597553,136,3.216,58.8,1.11,0,gps,0.6,0.6,0.8,40,,,,42,
2020-05-16T04:36:29.998Z,59.9403279,10.76604683,135,3.216,59,0.66,0,gps,0.6,0.6,0.9,40,,,,42,
2020-05-16T04:36:35.054Z,59.9404959,10.765356,129.1000061,33.595,,,0,network,,,,,,,,42,
2020-05-16T04:36:42.058Z,59.94034473,10.76603089,133,4.288,,0,0,gps,0.6,0.6,0.9,40,,,,42,
2020-05-16T04:36:47.159Z,59.9404991,10.7653494,129.1000061,33.595,,,0,network,,,,,,,,42,
2020-05-16T04:36:54.138Z,59.94033721,10.76601924,132,4.288,,0,0,gps,0.6,0.6,0.8,40,,,,42,
2020-05-16T04:36:47.159Z,59.9404991,10.7653494,129.1000061,33.595,,,0,network,,,,,,,,42,
2020-05-16T04:37:05.000Z,59.94032804,10.76600289,131,3.216,213.6,0.44,19,gps,0.6,0.6,0.8,40,,,,42,
2020-05-16T04:37:01.039Z,59.9405193,10.7654113,129.1000061,29.002,,,0,network,,,,,,,,42,
2020-05-16T04:37:17.000Z,59.94032594,10.76602927,131,13.936001,,0,0,gps,0.6,0.6,0.9,40,,,,42,
2020-05-16T04:37:09.787Z,59.9405174,10.7653698,129.1000061,26.549,,,0,network,,,,,,,,42,
2020-05-16T04:37:31.000Z,59.94032708,10.76603331,131,15.008,,0,0,gps,1,0.9,1.4,40,,,,42,
2020-05-16T04:37:38.000Z,59.94033611,10.76604672,130,12.864,,0,0,gps,1,0.9,1.4,40,,,,42,
2020-05-16T04:37:45.000Z,59.9403423,10.76604586,133,12.864,,0,0,gps,0.7,0.6,0.9,40,,,,42,
2020-05-16T04:37:52.000Z,59.94034961,10.76605141,130,11.792,,0,0,gps,1,0.9,1.3,40,,,,42,
2020-05-16T04:37:59.000Z,59.94035403,10.766056,132,18.224,,0,0,gps,0.8,0.7,1.1,40,,,,42,
2020-05-16T04:38:03.951Z,59.9404298,10.7670931,128.5,30.957,,,0,network,,,,,,,,42,
2020-05-16T04:38:13.000Z,59.94035198,10.76605755,134,10.72,,0,0,gps,0.8,0.8,1.1,40,,,,42,
2020-05-16T04:38:03.951Z,59.9404298,10.7670931,128.5,30.957,,,0,network,,,,,,,,42,
2020-05-16T04:38:26.000Z,59.94035473,10.76605789,136,18.224,,0,0,gps,0.9,0.7,1.1,40,,,,42,
2020-05-16T04:38:30.798Z,59.940437,10.7670358,129.1000061,30.555,,,0,network,,,,,,,,42,
2020-05-16T04:38:39.000Z,59.94035332,10.76605591,136,12.864,,0,0,gps,0.7,0.6,0.9,40,,,,42,
2020-05-16T04:38:30.799Z,59.940437,10.7670358,129.1000061,30.555,,,0,network,,,,,,,,42,
2020-05-16T04:38:52.000Z,59.94035585,10.76605534,138,7.504,,0,0,gps,0.7,0.7,1,40,,,,42,
2020-05-16T04:38:44.730Z,59.9406716,10.7653711,135.9000092,26.146,,,0,network,,,,,,,,42,
2020-05-16T04:39:05.000Z,59.94035801,10.7660531,138,4.288,,0,0,gps,0.7,0.6,1,40,,,,42,
2020-05-16T04:39:12.000Z,59.94035821,10.76605353,138,7.504,,0,0,gps,0.8,0.7,1.1,40,,,,42,
2020-05-16T04:39:19.000Z,59.94035903,10.76604719,138,12.864,,0,0,gps,0.8,0.8,1.1,40,,,,42,
2020-05-16T04:39:27.000Z,59.94036065,10.76604317,130,15.008,,0,0,gps,0.7,0.7,1,40,,,,42,
2020-05-16T04:39:35.000Z,59.94036243,10.7660384,133,19.296001,,0,0,gps,1,0.8,1.2,40,,,,42,
2020-05-16T04:39:42.000Z,59.9403629,10.76603809,130,15.008,,0,0,gps,0.9,0.7,1.1,40,,,,42,
2020-05-16T04:39:49.000Z,59.94036204,10.76603561,133,13.936001,,0,0,gps,0.8,0.7,1,40,,,,42,
2020-05-16T04:39:56.000Z,59.94035192,10.76603101,133,11.792,,0,0,gps,0.7,0.6,0.9,40,,,,42,
2020-05-16T04:40:03.000Z,59.94034334,10.76602446,134,13.936001,,0,0,gps,0.7,0.6,0.9,40,,,,42,
2020-05-16T04:40:10.000Z,59.94034027,10.7660198,133,7.504,,0,0,gps,1,0.9,1.3,40,,,,42,
2020-05-16T04:40:17.000Z,59.94033777,10.76601882,134,10.72,,0,0,gps,0.6,0.6,0.9,40,,,,42,
2020-05-16T04:40:07.728Z,59.940731,10.7654977,128.5,26.24,,,0,network,,,,,,,,42,
2020-05-16T04:40:30.000Z,59.9403367,10.76602013,135,16.08,,0,0,gps,1.3,0.8,1.6,40,,,,42,
2020-05-16T04:40:21.731Z,59.9406523,10.7655111,135.4000092,39.963,,,0,network,,,,,,,,42,
2020-05-16T04:40:43.000Z,59.94036173,10.76604407,141,8.576,44.8,0.76,0,gps,0.6,0.6,0.8,40,,,,42,
2020-05-16T04:40:34.750Z,59.9405506,10.7654213,135.4000092,38.697,,,0,network,,,,,,,,42,
2020-05-16T04:40:53.834Z,59.94038769,10.76606319,146,5.36,,0,0,gps,0.6,0.6,0.9,40,,,,42,
2020-05-16T04:41:00.134Z,59.94039448,10.76605813,144,4.288,,0,0,gps,0.6,0.6,0.8,40,,,,42,
2020-05-16T04:41:06.254Z,59.94047157,10.76610662,147,5.36,8.2,0.89,0,gps,0.6,0.6,0.8,40,,,,42,
2020-05-16T04:41:12.374Z,59.94042175,10.76611552,142,6.432,,0,0,gps,0.5,0.6,0.8,40,,,,42,
2020-05-16T04:41:18.474Z,59.94038851,10.76609004,133,4.288,196.3,0.62,19,gps,0.6,0.6,0.8,40,,,,42,
2020-05-16T04:41:24.574Z,59.94029816,10.7660045,130,5.36,,0,0,gps,0.6,0.6,0.8,40,,,,42,
2020-05-16T04:41:30.694Z,59.94030051,10.76599222,132,5.36,,0,0,gps,0.6,0.6,0.8,40,,,,42,
2020-05-16T04:41:36.814Z,59.94028861,10.76597647,133,4.288,,0,0,gps,0.6,0.6,0.8,40,,,,42,
2020-05-16T04:41:42.914Z,59.94031019,10.76600161,135,5.36,,0,0,gps,0.6,0.6,0.8,40,,,,42,
2020-05-16T04:41:49.034Z,59.94026478,10.76591772,133,5.36,236.1,2.36,0,gps,0.6,0.6,0.8,40,,,,42,
2020-05-16T04:41:55.134Z,59.94025973,10.76584756,133,6.432,264.1,0.7,0,gps,0.6,0.6,0.9,40,,,,42,
2020-05-16T04:42:00.355Z,59.9402122,10.7653029,129.1000061,16.285,,,0,network,,,,,,,,42,
2020-05-16T04:42:09.000Z,59.94024268,10.76562778,134,13.936001,289.3,1.01,0,gps,0.7,0.6,0.9,40,,,,42,
2020-05-16T04:42:00.354Z,59.9402122,10.7653029,129.1000061,16.285,,,0,network,,,,,,,,42,
2020-05-16T04:42:23.000Z,59.94023105,10.76495757,127,23.584,280,1.77,0,gps,0.6,0.6,0.9,40,,,,42,
2020-05-16T04:42:13.774Z,59.9401937,10.7651239,129.1000061,20.551,,,0,network,,,,,,,,42,
2020-05-16T04:42:37.000Z,59.94024938,10.76397049,118,16.08,294.2,1.16,0,gps,0.8,0.7,1,40,,,,42,
2020-05-16T04:42:28.152Z,59.9402379,10.7645872,129.4000092,34.738,,,0,network,,,,,,,,42,
2020-05-16T04:42:50.000Z,59.94024737,10.7635152,118,19.296001,286.6,2.35,0,gps,0.7,0.6,0.9,40,,,,42,
2020-05-16T04:42:41.895Z,59.9403115,10.7635826,129.5,25.691,,,0,network,,,,,,,,42,
2020-05-16T04:43:03.000Z,59.94028499,10.76298352,129,20.368,254.3,2,0,gps,0.8,0.7,1.1,40,,,,42,
